speed,rpm
14.48242,2055.536
14.5488,2061.427
14.615,2067.283
14.68102,2073.104
14.74685,2078.893
14.81251,2084.649
14.87798,2090.373
14.94327,2096.067
15.00837,2101.731
15.0733,2107.364
15.13803,2110.64
15.20456,2103.578
15.27469,2084.624
15.34688,2059.08
15.41931,2031.713
15.49083,2005.57
15.56086,1982.176
15.62927,1961.952
15.69617,1944.649
15.76178,1929.732
15.82633,1916.782
15.88996,1905.433
15.95282,1895.313
16.015,1886.106
16.0766,1877.58
16.13768,1869.588
16.19827,1862.047
16.2584,1854.922
16.31808,1848.203
16.3773,1841.892
16.43609,1835.994
16.49445,1830.507
16.5524,1825.425
16.60995,1820.737
16.66711,1816.424
16.72389,1812.469
16.78032,1808.849
16.83641,1805.546
16.89216,1802.54
16.9476,1799.812
17.00273,1797.347
17.05757,1795.127
17.11213,1793.14
17.16641,1791.372
17.22043,1789.809
17.27419,1788.441
17.32771,1787.255
17.38098,1786.241
17.43402,1785.388
17.48683,1784.687
17.53942,1784.129
17.59181,1783.704
17.64398,1783.405
17.69596,1783.223
17.74775,1783.152
17.79935,1783.185
17.85076,1783.314
17.902,1783.534
17.95306,1783.839
18.00396,1784.223
18.05469,1784.681
18.10525,1785.208
18.15566,1785.799
18.20591,1786.451
18.25601,1787.159
18.30596,1787.919
18.35576,1788.728
18.40543,1789.582
18.45495,1790.478
18.50434,1791.413
18.5536,1792.383
18.60272,1793.387
18.65172,1794.422
18.70058,1795.485
18.74932,1796.575
18.79794,1797.689
18.84644,1798.825
18.89482,1799.982
18.94308,1801.158
18.99121,1802.352
19.03923,1803.561
19.08714,1804.785
19.13494,1806.022
19.18261,1807.271
19.23018,1808.532
19.27764,1809.802
19.32498,1811.081
19.37222,1812.369
19.41934,1813.664
19.46636,1814.965
19.51327,1816.273
19.56008,1817.586
19.60678,1818.905
19.65338,1820.228
19.69987,1821.554
19.74626,1822.885
19.79255,1824.219
19.83874,1825.555
19.88483,1826.894
19.93083,1828.236
19.97672,1829.578
20.02252,1830.922
20.06822,1832.267
20.11382,1833.613
20.15933,1834.958
20.20475,1836.303
20.25007,1837.647
20.29529,1838.991
20.34042,1840.333
20.38546,1841.673
20.4304,1843.012
20.47524,1844.349
20.51999,1845.684
20.56465,1847.017
20.60922,1848.348
20.65369,1849.676
20.69807,1851.002
20.74236,1852.325
20.78655,1853.646
20.83066,1854.965
20.87467,1856.281
20.9186,1857.596
20.96244,1858.907
21.00619,1860.217
21.04986,1861.524
21.09344,1862.828
21.13693,1864.13
21.18034,1865.43
21.22366,1866.726
21.2669,1868.019
21.31006,1869.31
21.35314,1870.596
21.39613,1871.88
21.43904,1873.16
21.48187,1874.436
21.52462,1875.708
21.56728,1876.976
21.60987,1878.24
21.65236,1879.5
21.69478,1880.757
21.73712,1882.009
21.77938,1883.257
21.82155,1884.501
21.86364,1885.741
21.90565,1886.977
21.94758,1888.21
21.98943,1889.438
22.03119,1890.664
22.07288,1891.909
22.11448,1893.2
22.156,1894.542
22.19744,1895.924
22.23879,1897.333
22.28007,1898.756
22.32128,1900.183
22.36241,1901.606
22.40348,1903.022
22.44447,1904.429
22.4854,1905.828
22.52625,1907.22
22.56704,1908.605
22.60775,1909.986
22.6484,1911.363
22.68897,1912.736
22.72948,1914.105
22.76992,1915.471
22.81029,1916.833
22.85059,1918.192
22.89082,1919.547
22.93099,1920.897
22.97108,1922.244
23.01111,1923.587
23.05107,1924.926
23.09097,1926.26
23.1308,1928.674
23.17062,1931.006
23.21045,1932.997
23.25028,1934.679
23.29009,1936.128
23.32988,1937.429
23.3696,1937.572
23.40921,1937.77
23.44868,1938.312
23.48799,1939.18
23.52718,1940.301
23.56626,1941.584
23.60525,1944.037
23.64422,1946.439
23.6832,1948.496
23.72219,1950.219
23.76117,1951.681
23.80013,1952.969
23.83903,1953.076
23.87783,1953.223
23.9165,1953.704
23.95502,1954.509
23.99343,1955.568
24.03172,1956.793
24.06993,1958.108
24.10808,1959.454
24.14615,1960.794
24.18417,1962.108
24.22213,1963.392
24.26004,1964.647
24.29789,1965.88
24.33568,1967.098
24.37341,1968.306
24.41109,1969.511
24.44869,1970.813
24.48618,1972.354
24.52357,1974.137
24.56086,1976.087
24.59808,1978.111
24.63523,1980.137
24.67234,1982.127
24.7094,1984.073
24.74641,1985.982
24.78338,1987.869
24.82029,1989.746
